player_id,given_name,family_name,count_tournaments,list_tournaments,list_teams_name,list_teams_code,teams_num,full_name
P-00082,Viorel,Moldovan,2,"1994, 1998",['Romania'],['ROU'],1,Viorel Moldovan
P-02056,Ioachim,Moldoveanu,1,1938,['Romania'],['ROU'],1,Ioachim Moldoveanu
P-06458,Thabang,Molefe,1,2002,['South Africa'],['ZAF'],1,Thabang Molefe
P-07448,José,Molina,1,1998,['Spain'],['ESP'],1,José Molina
P-06386,Nahuel,Molina,1,2022,['Argentina'],['ARG'],1,Nahuel Molina
P-01103,Andreas,Möller,3,"1990, 1994, 1998","['Germany', 'West Germany']",['DEU'],2,Andreas Möller
P-05380,Jan,Möller,1,1978,['Sweden'],['SWE'],1,Jan Möller
P-08983,Peter,Møller,1,1998,['Denmark'],['DNK'],1,Peter Møller
P-08849,Miklos,Molnar,1,1998,['Denmark'],['DNK'],1,Miklos Molnar
P-08396,Dezső,Molnár,1,1966,['Hungary'],['HUN'],1,Dezső Molnár
P-06065,Pavol,Molnár,2,"1958, 1962",['Czechoslovakia'],['CSK'],1,Pavol Molnár
P-05247,Luis,Molowny,1,1950,['Spain'],['ESP'],1,Luis Molowny
P-02899,Raymond,Mommens,2,"1982, 1986",['Belgium'],['BEL'],1,Raymond Mommens
P-02018,Faryd,Mondragón,3,"1994, 1998, 2014",['Colombia'],['COL'],1,Faryd Mondragón
P-00223,Mario,Monge,1,1970,['El Salvador'],['SLV'],1,Mario Monge
P-02776,Teruyuki,Moniwa,1,2006,['Japan'],['JPN'],1,Teruyuki Moniwa
P-09129,Frank,Moniz,1,1950,['United States'],['USA'],1,Frank Moniz
P-01355,Tivadar,Monostori,2,"1958, 1962",['Hungary'],['HUN'],1,Tivadar Monostori
P-04891,Nacho,Monreal,1,2018,['Spain'],['ESP'],1,Nacho Monreal
P-01466,Pejman,Montazeri,2,"2014, 2018",['Iran'],['IRN'],1,Pejman Montazeri
P-01445,Vincenzo,Montella,1,2002,['Italy'],['ITA'],1,Vincenzo Montella
P-04360,Alfonso,Montemayor,1,1950,['Mexico'],['MEX'],1,Alfonso Montemayor
P-05685,Jefferson,Montero,1,2014,['Ecuador'],['ECU'],1,Jefferson Montero
P-08252,Mauricio,Montero,1,1990,['Costa Rica'],['CRI'],1,Mauricio Montero
P-06038,Paolo,Montero,1,2002,['Uruguay'],['URY'],1,Paolo Montero
P-06276,Julio,Montero Castillo,2,"1970, 1974",['Uruguay'],['URY'],1,Julio Montero Castillo
P-05331,César,Montes,1,2022,['Mexico'],['MEX'],1,César Montes
P-09686,Francisco,Montes,1,1970,['Mexico'],['MEX'],1,Francisco Montes
P-00629,Juan Pablo,Montes,1,2014,['Honduras'],['HND'],1,Juan Pablo Montes
P-02543,Luis,Monti,2,"1930, 1934","['Argentina', 'Italy']","['ITA', 'ARG']",2,Luis Monti
P-03476,Gonzalo,Montiel,1,2022,['Argentina'],['ARG'],1,Gonzalo Montiel
P-00030,José,Montiel,1,2006,['Paraguay'],['PRY'],1,José Montiel
P-01983,Riccardo,Montolivo,1,2010,['Italy'],['ITA'],1,Riccardo Montolivo
P-04503,Eraldo,Monzeglio,2,"1934, 1938",['Italy'],['ITA'],1,Eraldo Monzeglio
P-00721,Pedro,Monzón,1,1990,['Argentina'],['ARG'],1,Pedro Monzón
P-08306,Seon-min,Moon,1,2018,['South Korea'],['KOR'],1,Seon-min Moon
P-09428,Kim,Moon-hwan,1,2022,['South Korea'],['KOR'],1,Kim Moon-hwan
P-06545,Bobby,Moore,3,"1962, 1966, 1970",['England'],['ENG'],1,Bobby Moore
P-02486,Craig,Moore,2,"2006, 2010",['Australia'],['AUS'],1,Craig Moore
P-09436,Joe-Max,Moore,3,"1994, 1998, 2002",['United States'],['USA'],1,Joe-Max Moore
P-01993,Kieffer,Moore,1,2022,['Wales'],['WAL'],1,Kieffer Moore
P-08767,Shaq,Moore,1,2022,['United States'],['USA'],1,Shaq Moore
P-03244,Terry,Moore,1,1986,['Canada'],['CAN'],1,Terry Moore
P-06825,George,Moorhouse,2,"1930, 1934",['United States'],['USA'],1,George Moorhouse
P-02264,Aaron,Mooy,2,"2018, 2022",['Australia'],['AUS'],1,Aaron Mooy
P-06152,Bruno,Mora,1,1962,['Italy'],['ITA'],1,Bruno Mora
P-07745,Cristian,Mora,1,2006,['Ecuador'],['ECU'],1,Cristian Mora
P-00137,João,Morais,1,1966,['Portugal'],['PRT'],1,João Morais
P-00396,Carlos,Morales,1,1998,['Paraguay'],['PRY'],1,Carlos Morales
P-07909,Julio,Morales,1,1970,['Uruguay'],['URY'],1,Julio Morales
P-04085,Ramón,Morales,2,"2002, 2006",['Mexico'],['MEX'],1,Ramón Morales
P-09150,Richard,Morales,1,2002,['Uruguay'],['URY'],1,Richard Morales
P-08729,Víctor,Morales,1,1930,['Chile'],['CHL'],1,Víctor Morales
P-00909,Kevin,Moran,2,"1990, 1994",['Republic of Ireland'],['IRL'],1,Kevin Moran
P-05660,Rubén,Morán,1,1950,['Uruguay'],['URY'],1,Rubén Morán
P-02757,Vangelis,Moras,2,"2010, 2014",['Greece'],['GRC'],1,Vangelis Moras
P-06791,Álvaro,Morata,1,2022,['Spain'],['ESP'],1,Álvaro Morata
P-05129,António,Morato,1,1986,['Portugal'],['PRT'],1,António Morato
P-04060,Anton,Moravčík,1,1958,['Czechoslovakia'],['CSK'],1,Anton Moravčík
P-00206,Ľubomír,Moravčík,1,1990,['Czechoslovakia'],['CSK'],1,Ľubomír Moravčík
P-08027,József,Moravetz,1,1934,['Romania'],['ROU'],1,József Moravetz
P-05873,Leonel,Moreira,1,2018,['Costa Rica'],['CRI'],1,Leonel Moreira
P-03829,Claudio,Morel,1,2010,['Paraguay'],['PRY'],1,Claudio Morel
P-03698,Fernando,Morena,1,1974,['Uruguay'],['URY'],1,Fernando Morena
P-05117,Héctor,Moreno,4,"2010, 2014, 2018, 2022",['Mexico'],['MEX'],1,Héctor Moreno
P-03669,Jaime,Moreno,1,1994,['Bolivia'],['BOL'],1,Jaime Moreno
P-04215,Luis Antonio,Moreno,1,1998,['Colombia'],['COL'],1,Luis Antonio Moreno
P-04596,Mario,Moreno,1,1962,['Chile'],['CHL'],1,Mario Moreno
P-05478,Fritz,Morf,1,1962,['Switzerland'],['CHE'],1,Fritz Morf
P-09116,Lester,Morgan,1,2002,['Costa Rica'],['CRI'],1,Lester Morgan
P-09198,Willie,Morgan,1,1974,['Scotland'],['SCO'],1,Willie Morgan
P-08515,Fernando,Morientes,2,"1998, 2002",['Spain'],['ESP'],1,Fernando Morientes
P-06691,Francesco,Moriero,1,1998,['Italy'],['ITA'],1,Francesco Moriero
P-03631,Takayuki,Morimoto,1,2010,['Japan'],['JPN'],1,Takayuki Morimoto
P-01837,Francesco,Morini,1,1974,['Italy'],['ITA'],1,Francesco Morini
P-04814,Gustavo,Morínigo,1,2002,['Paraguay'],['PRY'],1,Gustavo Morínigo
P-08726,Ryuzo,Morioka,1,2002,['Japan'],['JPN'],1,Ryuzo Morioka
P-04069,Surprise,Moriri,1,2010,['South Africa'],['ZAF'],1,Surprise Moriri
P-03068,Masato,Morishige,1,2014,['Japan'],['JPN'],1,Masato Morishige
P-04461,Hiroaki,Morishima,2,"1998, 2002",['Japan'],['JPN'],1,Hiroaki Morishima
P-09772,Hidemasa,Morita,1,2022,['Japan'],['JPN'],1,Hidemasa Morita
P-08055,Max,Morlock,1,1954,['West Germany'],['DEU'],1,Max Morlock
P-06044,Giuseppe,Moro,1,1950,['Italy'],['ITA'],1,Giuseppe Moro
P-06203,Gennady,Morozov,1,1986,['Soviet Union'],['SUN'],1,Gennady Morozov
P-09547,Joe,Morrell,1,2022,['Wales'],['WAL'],1,Joe Morrell
P-00113,Chris,Morris,1,1990,['Republic of Ireland'],['IRL'],1,Chris Morris
P-00754,Jordan,Morris,1,2022,['United States'],['USA'],1,Jordan Morris
P-03745,Clinton,Morrison,1,2002,['Republic of Ireland'],['IRL'],1,Clinton Morrison
P-05818,Sam,Morsy,1,2018,['Egypt'],['EGY'],1,Sam Morsy
P-04701,Stan,Mortensen,1,1950,['England'],['ENG'],1,Stan Mortensen
P-03277,Lebogang,Morula,1,1998,['South Africa'],['ZAF'],1,Lebogang Morula
P-09787,Kamel,Mosaoud,1,1934,['Egypt'],['EGY'],1,Kamel Mosaoud
P-05871,Gustavo,Moscoso,1,1982,['Chile'],['CHL'],1,Gustavo Moscoso
P-09423,Victor,Moses,2,"2014, 2018",['Nigeria'],['NGA'],1,Victor Moses
P-06412,John,Moshoeu,1,1998,['South Africa'],['ZAF'],1,John Moshoeu
P-00220,Roberto,Mosquera,1,1978,['Peru'],['PER'],1,Roberto Mosquera
P-03883,Glen,Moss,1,2010,['New Zealand'],['NZL'],1,Glen Moss
P-02402,Mehdi,Mostefa,1,2014,['Algeria'],['DZA'],1,Mehdi Mostefa
